,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0,cowok usaha lacak perhati gue lantas remeh perhati gue kasih khusus basic cowok ,1,1,1,0,0,0,0,0,1,1,0,0
1,telat tau   gue gaul cigax jifla cal licew,0,1,0,0,0,0,0,0,0,0,0,0
2,41 kadang pikir percaya tuhan jatuh kali kali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3,ku tau mata  lihat,0,0,0,0,0,0,0,0,0,0,0,0
4,kaum   lihat   haha,1,1,0,1,1,0,0,0,0,0,1,0
5,ya   kawan kawan xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,gue selesai re watch aldnoah zero  2 karakter utama cowok kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
8,admin belanja po nak makan ais kepal milo ais kepal horlicks cendol toping kamu kamu doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
9,enak ,0,1,0,0,0,0,0,0,0,0,0,0
10,gue jari gue ukur nyali  xf0 x9f x98 x8f,1,1,1,0,0,0,0,0,1,1,0,0
11, kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
12,ajar ekonomi mesti jago privatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huru hara 98 prabowo sih  perintah jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
14,bu guru enak  guru sekolah dasar sih kayak nikmat  guru,1,1,1,0,0,0,0,1,0,1,0,0
15,lawan bicara gue intelek kayak otak kencing  gue hadis nabi sahih  kayak tolak ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
16,pikir  banget ya,0,0,0,0,0,0,0,0,0,0,0,0
17,ari bek rapi  xf0 x9f x98 x86 xf0 x9f x98 x86,0,1,0,0,0,0,0,0,0,0,0,0
18,cowok gantle gantle nama ,1,1,0,1,0,0,0,1,0,0,1,0
19,alga mnr bom xf0 x9f x98 x82,0,0,0,0,0,0,0,0,0,0,0,0
20, ya gue jarang ambek takut wkwk gue budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
21, peluang sakit nya gede sih,0,0,0,0,0,0,0,0,0,0,0,0
22,joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
23,ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional ajati bangun gubernur ahmad heryawan anggar belanja negara perintah pusat insya allah operasi,0,0,0,0,0,0,0,0,0,0,0,0
25,gubernur presiden rakyat ya,0,0,0,0,0,0,0,0,0,0,0,0
26,sih kerja delay mulu ,1,1,0,1,0,0,0,0,1,0,1,0
27,pintu sorga pintu sorga asli pintu hati modus banget,0,0,0,0,0,0,0,0,0,0,0,0
28,partai  indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0,0,1,0,1,0,0,0,0,1,0
29,nenek nenek heran  bohong,1,1,1,0,0,0,0,0,1,1,0,0
30,islam nusantara produk jil pasar gencar  xc2 xb2 jil jil anti arab pro  almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
31,habis sahur jam 10 sih bayi  kali lemas xf0 x9f xa4 xa2,0,0,0,0,0,0,0,0,0,0,0,0
32,kak emak suka  wkwk,0,0,0,0,0,0,0,0,0,0,0,0
33,laku  jaman now  live blued  video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
34,kak gue orang jawa maaf ya gue orang palembang kakak deh ajar aksara jawa kelak ajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian training kayak mentang mentang gue kayak  kaos flat shoes dijutekin  malas beli kabur gue matahari,1,1,0,1,0,0,0,0,1,0,1,0
36,xe2 x80 x9dpara bajing luka lady terima ganjar ratus kali lipat xe2 x80 x9d sanji selamat ulang laut jkt48,0,1,0,0,0,0,0,0,0,0,0,0
37,saja tolak berita hoaks sukses pilih kepala daerah wilayah kota,0,0,0,0,0,0,0,0,0,0,0,0
38,presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi,0,0,0,0,0,0,0,0,0,0,0,0
39, tuju fabiano,0,1,0,0,0,0,0,0,0,0,0,0
40,al alquran ya bang mulut kayak orang    farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
41,lihat beda wibawa wibawa gubernur indonesia masya allah,0,0,0,0,0,0,0,0,0,0,0,0
42, kali lihat orang  debat pilih kepala daerah kerja serang karakter kecewa on empok silvy and agus debat final pilih kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
43,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot syiar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kayak djarot hadap pese a rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
44,iya islam lokalisasi kristen mas nusantara mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,0,0,0,0,0,0,0,0,0,0,0,0
